Subject,SPOC_LAMBDA,SPOC_CORR,SPOC_Pvalue,CSP_acc,CSP_Pvalue,LSTM_acc,LSTM_Pvalue
NVR_S02,0.0806326196585532,0.116126240720745,1,0.6833333333333330,9.69330465320982E-07,0.6833333333333330,9.69330465320982E-07
NVR_S03,-0.194418538985674,-0.201989121736207,0.754,0.6166666666666670,0.002155107552530420,0.6333333333333330,4.28435914534013E-04
NVR_S04,-0.404657929802881,-0.196136438013776,0.06,0.6166666666666670,0.002155107552530420,0.5611111111111110,0.11727865310746000
NVR_S05,-0.934275725455988,-0.178619402659232,0.014,0.6722222222222220,4.43444926375516E-06,0.6,0.008900553941770720
NVR_S06,-0.266077528864068,-0.241436475539002,0.038,0.6388888888888890,2.39076862716274E-04,0.5722222222222220,0.06210676585298510
NVR_S08,-0.184867574592467,-0.186956936053052,0.654,0.5166666666666670,0.7094997422022830,0.5833333333333330,0.030369539446891200
NVR_S11,-0.408429532905706,-0.0425072857222144,0.012,0.5944444444444440,0.013682544934001700,0.6111111111111110,0.0035332037055875900
NVR_S13,-0.327845997797867,-0.169839180416592,0.488,0.5388888888888890,0.3325790904569390,0.5333333333333330,0.4123505574140870
NVR_S14,-0.209680238992962,-0.361539941147997,0.052,0.65,6.95054059685445E-05,0.5722222222222220,0.06210676585298510
NVR_S15,-0.22710247971103,-0.157886356292074,0.194,0.55,0.20499173682591800,0.5833333333333330,0.030369539446891200
NVR_S17,-1.08780266400272,-0.254206173727627,0.028,0.5666666666666670,0.0861873133286952,0.5944444444444440,0.013682544934001700
NVR_S18,-0.254250449265307,-0.257806528679662,0.15,0.5333333333333330,0.4123505574140870,0.5333333333333330,0.4123505574140870
NVR_S21,-0.322092750768742,-0.194970527138397,0.648,0.7222222222222220,2.13482420178686E-09,0.6722222222222220,4.43444926375516E-06
NVR_S22,-0.638792357414023,-0.229092782426891,0.014,0.5722222222222220,0.06210676585298510,0.5222222222222220,0.6019687530156480
NVR_S25,-1.49146067839453,-0.182224679341524,0,0.6,0.008900553941770720,0.5888888888888890,0.020597045422768100
NVR_S26,-0.464466163966686,-0.327846688528511,0.088,0.7777777777777780,3.31635738312244E-14,0.6555555555555560,3.6194868117548E-05
NVR_S28,-0.214709382103867,-0.188809750540031,0.632,0.6166666666666670,0.002155107552530420,0.5555555555555560,0.15653146957815100
NVR_S29,-0.360360266968904,-0.0502937821932501,0.134,0.4722222222222220,0.5024453906833380,0.5888888888888890,0.020597045422768100
NVR_S30,-0.431827639322602,-0.282377839385862,0.422,0.6722222222222220,4.43444926375516E-06,0.6444444444444450,1.30401232977397E-04
NVR_S34,-0.813039141267892,-0.290979436124474,0,0.5888888888888890,0.020597045422768100,0.6166666666666670,0.002155107552530420
NVR_S35,-0.441956261633865,-0.328881698444699,0.102,0.6944444444444440,1.91882489433111E-07,0.65,6.95054059685445E-05
NVR_S36,-0.771320959296118,-0.263391197375551,0.024,0.6555555555555560,3.6194868117548E-05,0.6444444444444450,1.30401232977397E-04
NVR_S37,-0.665001352637935,-0.189418720125819,0.008,0.65,6.95054059685445E-05,0.5611111111111110,0.11727865310746000
NVR_S39,-0.146980895740947,-0.140298620751878,0.964,0.4888888888888890,0.8231404466836140,0.5388888888888890,0.3325790904569390
NVR_S42,-0.356795370240005,-0.0959701136226721,0.348,0.5166666666666670,0.7094997422022830,0.5388888888888890,0.3325790904569390
NVR_S44,-0.492478667204892,-0.34293929975383,0.34,0.6111111111111110,0.0035332037055875900,0.6111111111111110,0.0035332037055875900
